run_name,run_description,model_description
MP01GS01,"The sulphate aerosol (direct effect) and greenhouse gas experiment (GSD): The forcing includes not only the greenhouse gas forcing described with the ""greenhouse run"" but also the direct radiative effect of historic sulphate aerosol concentrations from 1860 to 1990 and a scenario of sulphate aerosol concentrations from 1990 to 2049. The sulphate aerosol concentrations are calculated in the ECHAM4 model from the sulphur emissions in the IS92a scenario.","The ECHAM climate model has been developed from the ECMWF atmospheric model (therefore the first part of its name: EC) and a comprehensive parameterisation package developed at Hamburg therefore the abbreviation HAM) which allows the model to be used for climate simulations. The model is a spectral transform model with 19 atmospheric layers and the results used here derive from experiments performed with spatial resolution T42 (which approximates to about 2.8º longitude/latitude resolution). The model has also been used at resolutions in the range T21 to T106. ECHAM4 is the current generation in the line of ECHAM models (Roeckner, et al., 1992). A summary of developments regarding model physics in ECHAM4 and a description of the simulated climate obtained with the uncoupled ECHAM4 model is given in Roeckner et al. (1996). The initial sea surface temperature and sea-ice data is the COLA/CAC AMIP SST and sea-ice data set. The mean terrain heights are computed from high resolution US Navy data set. The fraction of grid area covered by vegetation based on the Wilson and Henderson-Sellers (1985) data set. The ocean albedo is a function of solar zenith angle and the land albedo from the satellite data of Geleyn and Preuss (1983). A diurnal cycle and gravity wave-drag is included. The time-step of the model is 24 minutes, except for radiation which uses two hours. The ocean model is an updated version of the isopycnal model (OPYC3) developed by Josef Oberhuber (Oberhuber, 1993) at the Max-Planck-Institute for Meteorology, Hamburg, Germany. The name OPYC is derived from Ocean and isoPYCnal co-ordinates. The concept to use isopycnals as the vertical co-ordinate system for an OGCM is based on the observation that the interior ocean behaves as a rather conservative fluid. Even over long distances the origin of water masses can be traced back by considering the distribution of active or passive tracers. Treating the ocean as a conservative fluid fails in areas of significant turbulence activity such as the surface boundary layer. A surface mixed-layer is therefore coupled to the interior ocean in order to represent near-surface vertical mixing and to improve the response time-scales to atmospheric forcing which is controlled by the mixed-layer thickness. Since the model is designed for studies on large scales, a sea ice model with rheology is included and serves the purpose of de-coupling the ocean from extreme high-latitude winter conditions and promotes a realistic treatment of the salinity forcing due to melting or freezing sea ice. The experiments from which results are used here are the 1000-year unforced control simulation using the coupled ECHAM4/OPYC3 model and then two climate change simulations. The greenhouse gas only forced experiment (referred to as GGa1) used historical greenhouse gas forcing from 1860 to 1990 followed by a 1 per cent annum increase in radiative forcing from 1990 to 2099. The greenhouse gas and sulphate aerosol forced experiment (referred to as GSa1) used the GGa1 forcing, plus the negative forcing due to sulphate aerosols. This was represented by means of an increase in clear-sky surface albedo proportional to the local sulphate loading. The indirect effects of aerosols were not simulated. For 1860 to 1990 the historic sulphate aerosol forcing estimate was used and for 1990 to 2049 the aerosol forcing estimated for the IS92a emissions scenario. The GSa1 experiment did not extend beyond 2049. Several papers describe results using this version of the model - see Bacher et al. (1998), Oberhuber et al. (1998), Zhang et al. (1998)."
MP01GG01,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses an increase in concentrations represented by the IS92a emissions scenario with the Copenhagen modifications of industrial gases. This is sometimes referred as ""IS95a"". In GHG, the concentrations of the following greenhouse gases are prescribed as a function of time: CO2, CH4, N2O and several industrial gases. From 1860 to 1990, the annual concentrations of these gases are prescribed as observed and, from 1990 onward, according to the IPCC'92 scenario IS92a. For the industrial gases, the IS92a scenario has been updated to be consistent with a Copenhagen-like emission scenario (IPCC'96). All of the time dependent, or 'transient', forcing experiments have been initialised at year 100 of CTL, nominally 1860 in the transient experiments. However, these initial values do not correspond to 'pre-industrial' (1860) but to present-day conditions. This applies not only to SST and other climate variables but also to the concentrations of CO2, CH4 and N2O. In the transient experiments, this initial shift in concentration is taken into account by enhancing the observed/projected concentrations of these gases in an appropriate way (Appendix A).","The ECHAM climate model has been developed from the ECMWF atmospheric model (therefore the first part of its name: EC) and a comprehensive parameterisation package developed at Hamburg therefore the abbreviation HAM) which allows the model to be used for climate simulations. The model is a spectral transform model with 19 atmospheric layers and the results used here derive from experiments performed with spatial resolution T42 (which approximates to about 2.8º longitude/latitude resolution). The model has also been used at resolutions in the range T21 to T106. ECHAM4 is the current generation in the line of ECHAM models (Roeckner, et al., 1992). A summary of developments regarding model physics in ECHAM4 and a description of the simulated climate obtained with the uncoupled ECHAM4 model is given in Roeckner et al. (1996). The initial sea surface temperature and sea-ice data is the COLA/CAC AMIP SST and sea-ice data set. The mean terrain heights are computed from high resolution US Navy data set. The fraction of grid area covered by vegetation based on the Wilson and Henderson-Sellers (1985) data set. The ocean albedo is a function of solar zenith angle and the land albedo from the satellite data of Geleyn and Preuss (1983). A diurnal cycle and gravity wave-drag is included. The time-step of the model is 24 minutes, except for radiation which uses two hours. The ocean model is an updated version of the isopycnal model (OPYC3) developed by Josef Oberhuber (Oberhuber, 1993) at the Max-Planck-Institute for Meteorology, Hamburg, Germany. The name OPYC is derived from Ocean and isoPYCnal co-ordinates. The concept to use isopycnals as the vertical co-ordinate system for an OGCM is based on the observation that the interior ocean behaves as a rather conservative fluid. Even over long distances the origin of water masses can be traced back by considering the distribution of active or passive tracers. Treating the ocean as a conservative fluid fails in areas of significant turbulence activity such as the surface boundary layer. A surface mixed-layer is therefore coupled to the interior ocean in order to represent near-surface vertical mixing and to improve the response time-scales to atmospheric forcing which is controlled by the mixed-layer thickness. Since the model is designed for studies on large scales, a sea ice model with rheology is included and serves the purpose of de-coupling the ocean from extreme high-latitude winter conditions and promotes a realistic treatment of the salinity forcing due to melting or freezing sea ice. The experiments from which results are used here are the 1000-year unforced control simulation using the coupled ECHAM4/OPYC3 model and then two climate change simulations. The greenhouse gas only forced experiment (referred to as GGa1) used historical greenhouse gas forcing from 1860 to 1990 followed by a 1 per cent annum increase in radiative forcing from 1990 to 2099. The greenhouse gas and sulphate aerosol forced experiment (referred to as GSa1) used the GGa1 forcing, plus the negative forcing due to sulphate aerosols. This was represented by means of an increase in clear-sky surface albedo proportional to the local sulphate loading. The indirect effects of aerosols were not simulated. For 1860 to 1990 the historic sulphate aerosol forcing estimate was used and for 1990 to 2049 the aerosol forcing estimated for the IS92a emissions scenario. The GSa1 experiment did not extend beyond 2049. Several papers describe results using this version of the model - see Bacher et al. (1998), Oberhuber et al. (1998), Zhang et al. (1998)."
MP01GS02,"The sulphate aerosol (direct effect), greenhouse gas and ocone experiment (GSDIO): The forcing includes not only the greenhouse gas forcing described with the ""greenhouse run"" but also the direct radiative effect and the indirect cloud effect of historic sulphate aerosol concentrations from 1860 to 1990 and a scenario of sulphate aerosol concentrations from 1990 to 2049. The sulphate aerosol concentrations are calculated in the ECHAM4 model from the sulphur emissions in the IS92a scenario. Additionally the troposheric ocone has been modified according to IS92a. Similar to MP01GS01 but includes indirect effect of aerosols.","The ECHAM climate model has been developed from the ECMWF atmospheric model (therefore the first part of its name: EC) and a comprehensive parameterisation package developed at Hamburg therefore the abbreviation HAM) which allows the model to be used for climate simulations. The model is a spectral transform model with 19 atmospheric layers and the results used here derive from experiments performed with spatial resolution T42 (which approximates to about 2.8º longitude/latitude resolution). The model has also been used at resolutions in the range T21 to T106. ECHAM4 is the current generation in the line of ECHAM models (Roeckner, et al., 1992). A summary of developments regarding model physics in ECHAM4 and a description of the simulated climate obtained with the uncoupled ECHAM4 model is given in Roeckner et al. (1996). The initial sea surface temperature and sea-ice data is the COLA/CAC AMIP SST and sea-ice data set. The mean terrain heights are computed from high resolution US Navy data set. The fraction of grid area covered by vegetation based on the Wilson and Henderson-Sellers (1985) data set. The ocean albedo is a function of solar zenith angle and the land albedo from the satellite data of Geleyn and Preuss (1983). A diurnal cycle and gravity wave-drag is included. The time-step of the model is 24 minutes, except for radiation which uses two hours. The ocean model is an updated version of the isopycnal model (OPYC3) developed by Josef Oberhuber (Oberhuber, 1993) at the Max-Planck-Institute for Meteorology, Hamburg, Germany. The name OPYC is derived from Ocean and isoPYCnal co-ordinates. The concept to use isopycnals as the vertical co-ordinate system for an OGCM is based on the observation that the interior ocean behaves as a rather conservative fluid. Even over long distances the origin of water masses can be traced back by considering the distribution of active or passive tracers. Treating the ocean as a conservative fluid fails in areas of significant turbulence activity such as the surface boundary layer. A surface mixed-layer is therefore coupled to the interior ocean in order to represent near-surface vertical mixing and to improve the response time-scales to atmospheric forcing which is controlled by the mixed-layer thickness. Since the model is designed for studies on large scales, a sea ice model with rheology is included and serves the purpose of de-coupling the ocean from extreme high-latitude winter conditions and promotes a realistic treatment of the salinity forcing due to melting or freezing sea ice. The experiments from which results are used here are the 1000-year unforced control simulation using the coupled ECHAM4/OPYC3 model and then two climate change simulations. The greenhouse gas only forced experiment (referred to as GGa1) used historical greenhouse gas forcing from 1860 to 1990 followed by a 1 per cent annum increase in radiative forcing from 1990 to 2099. The greenhouse gas and sulphate aerosol forced experiment (referred to as GSa1) used the GGa1 forcing, plus the negative forcing due to sulphate aerosols. This was represented by means of an increase in clear-sky surface albedo proportional to the local sulphate loading. The indirect effects of aerosols were not simulated. For 1860 to 1990 the historic sulphate aerosol forcing estimate was used and for 1990 to 2049 the aerosol forcing estimated for the IS92a emissions scenario. The GSa1 experiment did not extend beyond 2049. Several papers describe results using this version of the model - see Bacher et al. (1998), Oberhuber et al. (1998), Zhang et al. (1998)."
CS01GG01,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1881 to 1990. From 1990 to 2100 it uses an increase in concentrations represented by the IS92a emissions scenario. The model radiation code includes only CO2, water vapor and ozone. The other radiatively active trace gases are included as equivalent CO2. We used the IS92a emission scenarios. This gives approximately a 0.9%/year increase in equivalent CO2 after 1990. In practice the whole CO2 series was scaled so that the 1880 value matched the model control value (330 ppmv).","The CSIRO Atmospheric Research Mark 2b climate model (Hirst et al., 1996, 1999) has recently been used for a number of more sophisticated climate change simulations. These start from 1880 to avoid the ""cold start problem"". This version of the CSIRO model includes the Gent-McWilliams mixing scheme in the ocean and shows greatly reduced climate drift relative to earlier versions (e.g. Dix and Hunt, 1998). The drift in global mean surface temperature in the new control run is about -0.02 ºC/century. Note that the model uses flux correction. The model atmosphere has 9 levels in the vertical and horizontal resolution of spectral R21 (approximately 5.6 by 3.2 degrees). The ocean model has the same horizontal resolution with 21 levels. The equilibrium sensitivity to doubled CO2 of a mixed layer ocean version of the model is 4.3 degrees. This is at the high end of the range of model sensitivities (e.g. IPCC 1995, Table 6.3). In the basic greenhouse gas experiment the model combines the effect of all radiatively active trace gases into an ""equivalent"" CO2 concentration. Observed concentrations are used from 1880 to 1990 and the IS92a projections into the future. This gives close to a 1%/year compounding increase of equivalent CO2. Another model experiment includes the negative radiative forcing from atmospheric sulphate aerosol. The direct aerosol forcing is included via a perturbation of the surface albedo, similarly to the Hadley Centre experiments described by Mitchell et al (1995) and Mitchell and Johns (1997) . The sulphate concentrations are the same as used in the Hadley Centre experiments. However the chosen aerosol optical properties are different, giving a present day forcing due to anthropogenic sulphate of about -0.4 W/m^2. This can be compared to the 1880-1990 greenhouse gas forcing of about 2 W/m^2. The magnitude of the 20th century warming in the model including aerosol matches the observed reasonably well. However there are a number of forcings missing from the model, including solar variability, sulphate indirect effect and the effect of soot."
CS01GS01,"The forcing includes not only the greenhouse gas forcing described with the ""greenhouse run"" but also the direct radiative effect of sulphate aerosol concentrations. The direct aerosol effect was included as a surface albedo perturbation. The sulfate mass fields were obtained from the UKMO and are as used by Mitchell and Johns (1997). However optical properties different to those of UKMO are used. The optical properties are based on Kiehl and Briegleb (1993) rather than Charlson et al (1991). This gives a smaller forcing which probably is a more realistic estimate of the direct forcing alone. The 1990 direct forcing is about -0.4 W/m^2 in the CSIRO coupled model compared to -0.65 in the UKMO model.","The CSIRO Atmospheric Research Mark 2b climate model (Hirst et al., 1996, 1999) has recently been used for a number of more sophisticated climate change simulations. These start from 1880 to avoid the ""cold start problem"". This version of the CSIRO model includes the Gent-McWilliams mixing scheme in the ocean and shows greatly reduced climate drift relative to earlier versions (e.g. Dix and Hunt, 1998). The drift in global mean surface temperature in the new control run is about -0.02 ºC/century. Note that the model uses flux correction. The model atmosphere has 9 levels in the vertical and horizontal resolution of spectral R21 (approximately 5.6 by 3.2 degrees). The ocean model has the same horizontal resolution with 21 levels. The equilibrium sensitivity to doubled CO2 of a mixed layer ocean version of the model is 4.3 degrees. This is at the high end of the range of model sensitivities (e.g. IPCC 1995, Table 6.3). In the basic greenhouse gas experiment the model combines the effect of all radiatively active trace gases into an ""equivalent"" CO2 concentration. Observed concentrations are used from 1880 to 1990 and the IS92a projections into the future. This gives close to a 1%/year compounding increase of equivalent CO2. Another model experiment includes the negative radiative forcing from atmospheric sulphate aerosol. The direct aerosol forcing is included via a perturbation of the surface albedo, similarly to the Hadley Centre experiments described by Mitchell et al (1995) and Mitchell and Johns (1997) . The sulphate concentrations are the same as used in the Hadley Centre experiments. However the chosen aerosol optical properties are different, giving a present day forcing due to anthropogenic sulphate of about -0.4 W/m^2. This can be compared to the 1880-1990 greenhouse gas forcing of about 2 W/m^2. The magnitude of the 20th century warming in the model including aerosol matches the observed reasonably well. However there are a number of forcings missing from the model, including solar variability, sulphate indirect effect and the effect of soot."
GF01GG01,"The value of CO2 increases gradually from the initial value (approximately equal to the value observed in 1958). The rate of 1% per year increase in CO2 is approximately equal to the rate of total radiative forcing of all greenhouse gases (CO2 +O3 + freons + ..) of the IPCC ""business as usual"" scenario. The initial conditions in the model atmosphere and ocean are in no way related to the conditions in 1958. Therefore due to natural variability both in the model and in the observed climate the state is different even though the radiative forcing was about equal between model and nature.","The experiments with the GFDL model used here were performed using the coupled ocean-atmosphere model described in Manabe et al. (1991) and Stouffer et al., (1994) and references therein. The model has interactive clouds and seasonally varying solar insolation. The atmospheric component has nine finite difference (sigma) levels in the vertical. This version of the model was run at a rhomboidal resolution of 15 waves (R15) yielding an equivalent resolution of about 4.5º latitude by 7.5º longitude. The model has global geography consistent with its computational resolution and seasonal (but not diurnal) variation of insolation. The ocean model is based on that of Byan and Lewis (1979) with a spacing between gridpoints of 4.5º latitude and 3.7º longitude . It has 12 unevenly spaced levels in the vertical dimension. To reduce model drift, the fluxes of heat and water are adjusted by amounts which vary seasonally and geographically, but do not change from one year to another. The model also includes a dynamic sea-ice model (Bryan, 1969) which allows the system additional degrees of freedom. The 1000-year unforced simulation used here is described in Manabe and Stouffer (1996). The drift in global-mean temperature during this unforced simulation is very small at about -0.023ºC per century. The two GFDL-R15 climate change experiments used here use the IS92a scenario of estimated past and future greenhouse gas (GGa1) and combined greenhouse gas and sulphate aerosol (GSa1) forcing for the period 1765-2065 (Haywood et al., 1997). For the GGa1 experiment only the 100-year segment from 1958-2057 are available through the IPCC DDC. The radiative effects of all greenhouse gases is represented in terms of an equivalent CO2 concentration, and the direct radiative sulphate aerosol forcing is parameterised in terms of specified spatially dependent surface albedo changes (following Mitchell et al., 1995). Results from these climate change experiments are discussed in Haywood et al. (1997)."
GF01GS01,"This simulation starts CO2 and aerosol forcing at 1766 levels, runs it through the present and out to 2065. (Note, see Dixon et al. 2002, ""A comparison of climate change simulations produced by two GFDL coupled climate models"")","The experiments with the GFDL model used here were performed using the coupled ocean-atmosphere model described in Manabe et al. (1991) and Stouffer et al., (1994) and references therein. The model has interactive clouds and seasonally varying solar insolation. The atmospheric component has nine finite difference (sigma) levels in the vertical. This version of the model was run at a rhomboidal resolution of 15 waves (R15) yielding an equivalent resolution of about 4.5º latitude by 7.5º longitude. The model has global geography consistent with its computational resolution and seasonal (but not diurnal) variation of insolation. The ocean model is based on that of Byan and Lewis (1979) with a spacing between gridpoints of 4.5º latitude and 3.7º longitude . It has 12 unevenly spaced levels in the vertical dimension. To reduce model drift, the fluxes of heat and water are adjusted by amounts which vary seasonally and geographically, but do not change from one year to another. The model also includes a dynamic sea-ice model (Bryan, 1969) which allows the system additional degrees of freedom. The 1000-year unforced simulation used here is described in Manabe and Stouffer (1996). The drift in global-mean temperature during this unforced simulation is very small at about -0.023ºC per century. The two GFDL-R15 climate change experiments used here use the IS92a scenario of estimated past and future greenhouse gas (GGa1) and combined greenhouse gas and sulphate aerosol (GSa1) forcing for the period 1765-2065 (Haywood et al., 1997). For the GGa1 experiment only the 100-year segment from 1958-2057 are available through the IPCC DDC. The radiative effects of all greenhouse gases is represented in terms of an equivalent CO2 concentration, and the direct radiative sulphate aerosol forcing is parameterised in terms of specified spatially dependent surface albedo changes (following Mitchell et al., 1995). Results from these climate change experiments are discussed in Haywood et al. (1997)."
DK01GG01,"The atmosphere-ocean general circulation model ECHAM3/LSG is used for climate change and climate variability studies. For this climate change integration, the CO2 concentration from 1880 to 2084 were prescribed. Up to 1985 the concentration follows were taken from observation Schoenwiese et al., 1990) and for the following years the IPCC scenario A (Business as Usual, Houghton et al., 1990) was applied. The models ECHAM3 and LSG are described in the DKRZ reports No.6 and No.2, respectively. (Note: this model does not appear to have been a part of the SAR).","The ECHAM climate model has been developed from the ECMWF atmospheric model (therefore the first part of its name: EC) and a comprehensive parameterisation package developed at Hamburg therefore the abbreviation HAM) which allows the model to be used for climate simulations. The model is a spectral transform model with 19 atmospheric layers and the results used here derive from experiments performed with spatial resolution T42 (which approximates to about 2.8º longitude/latitude resolution). The model has also been used at resolutions in the range T21 to T106. ECHAM4 is the current generation in the line of ECHAM models (Roeckner, et al., 1992). A summary of developments regarding model physics in ECHAM4 and a description of the simulated climate obtained with the uncoupled ECHAM4 model is given in Roeckner et al. (1996). The initial sea surface temperature and sea-ice data is the COLA/CAC AMIP SST and sea-ice data set. The mean terrain heights are computed from high resolution US Navy data set. The fraction of grid area covered by vegetation based on the Wilson and Henderson-Sellers (1985) data set. The ocean albedo is a function of solar zenith angle and the land albedo from the satellite data of Geleyn and Preuss (1983). A diurnal cycle and gravity wave-drag is included. The time-step of the model is 24 minutes, except for radiation which uses two hours. The ocean model is an updated version of the isopycnal model (OPYC3) developed by Josef Oberhuber (Oberhuber, 1993) at the Max-Planck-Institute for Meteorology, Hamburg, Germany. The name OPYC is derived from Ocean and isoPYCnal co-ordinates. The concept to use isopycnals as the vertical co-ordinate system for an OGCM is based on the observation that the interior ocean behaves as a rather conservative fluid. Even over long distances the origin of water masses can be traced back by considering the distribution of active or passive tracers. Treating the ocean as a conservative fluid fails in areas of significant turbulence activity such as the surface boundary layer. A surface mixed-layer is therefore coupled to the interior ocean in order to represent near-surface vertical mixing and to improve the response time-scales to atmospheric forcing which is controlled by the mixed-layer thickness. Since the model is designed for studies on large scales, a sea ice model with rheology is included and serves the purpose of de-coupling the ocean from extreme high-latitude winter conditions and promotes a realistic treatment of the salinity forcing due to melting or freezing sea ice. The experiments from which results are used here are the 1000-year unforced control simulation using the coupled ECHAM4/OPYC3 model and then two climate change simulations. The greenhouse gas only forced experiment (referred to as GGa1) used historical greenhouse gas forcing from 1860 to 1990 followed by a 1 per cent annum increase in radiative forcing from 1990 to 2099. The greenhouse gas and sulphate aerosol forced experiment (referred to as GSa1) used the GGa1 forcing, plus the negative forcing due to sulphate aerosols. This was represented by means of an increase in clear-sky surface albedo proportional to the local sulphate loading. The indirect effects of aerosols were not simulated. For 1860 to 1990 the historic sulphate aerosol forcing estimate was used and for 1990 to 2049 the aerosol forcing estimated for the IS92a emissions scenario. The GSa1 experiment did not extend beyond 2049. Several papers describe results using this version of the model - see Bacher et al. (1998), Oberhuber et al. (1998), Zhang et al. (1998)."
DK01GS02,"The atmosphere-ocean general circulation model ECHAM3/LSG is used for climate change and climate variability studies. Up to 1985 the concentration followswere taken from observation (Schoenwiese et al., 1990) and for the following years the IPCC scenario A (Business as Usual, Houghton et al., 1990) was applied. In addition the direct effect of suphate aerosols was simulated. The aerosol data were calculated using the MOGUNTIA sulphur model (Lange and Rhode, 1991). The Sulphate emissions were taken from historical data and from projected future emissions from the IPCC 1992 scenario A. The models ECHAM3 and LSG are described in the DKRZ reports No.6 and No.2, respectively. (Note: this model does not appear to have been a part of the SAR).","The ECHAM climate model has been developed from the ECMWF atmospheric model (therefore the first part of its name: EC) and a comprehensive parameterisation package developed at Hamburg therefore the abbreviation HAM) which allows the model to be used for climate simulations. The model is a spectral transform model with 19 atmospheric layers and the results used here derive from experiments performed with spatial resolution T42 (which approximates to about 2.8º longitude/latitude resolution). The model has also been used at resolutions in the range T21 to T106. ECHAM4 is the current generation in the line of ECHAM models (Roeckner, et al., 1992). A summary of developments regarding model physics in ECHAM4 and a description of the simulated climate obtained with the uncoupled ECHAM4 model is given in Roeckner et al. (1996). The initial sea surface temperature and sea-ice data is the COLA/CAC AMIP SST and sea-ice data set. The mean terrain heights are computed from high resolution US Navy data set. The fraction of grid area covered by vegetation based on the Wilson and Henderson-Sellers (1985) data set. The ocean albedo is a function of solar zenith angle and the land albedo from the satellite data of Geleyn and Preuss (1983). A diurnal cycle and gravity wave-drag is included. The time-step of the model is 24 minutes, except for radiation which uses two hours. The ocean model is an updated version of the isopycnal model (OPYC3) developed by Josef Oberhuber (Oberhuber, 1993) at the Max-Planck-Institute for Meteorology, Hamburg, Germany. The name OPYC is derived from Ocean and isoPYCnal co-ordinates. The concept to use isopycnals as the vertical co-ordinate system for an OGCM is based on the observation that the interior ocean behaves as a rather conservative fluid. Even over long distances the origin of water masses can be traced back by considering the distribution of active or passive tracers. Treating the ocean as a conservative fluid fails in areas of significant turbulence activity such as the surface boundary layer. A surface mixed-layer is therefore coupled to the interior ocean in order to represent near-surface vertical mixing and to improve the response time-scales to atmospheric forcing which is controlled by the mixed-layer thickness. Since the model is designed for studies on large scales, a sea ice model with rheology is included and serves the purpose of de-coupling the ocean from extreme high-latitude winter conditions and promotes a realistic treatment of the salinity forcing due to melting or freezing sea ice. The experiments from which results are used here are the 1000-year unforced control simulation using the coupled ECHAM4/OPYC3 model and then two climate change simulations. The greenhouse gas only forced experiment (referred to as GGa1) used historical greenhouse gas forcing from 1860 to 1990 followed by a 1 per cent annum increase in radiative forcing from 1990 to 2099. The greenhouse gas and sulphate aerosol forced experiment (referred to as GSa1) used the GGa1 forcing, plus the negative forcing due to sulphate aerosols. This was represented by means of an increase in clear-sky surface albedo proportional to the local sulphate loading. The indirect effects of aerosols were not simulated. For 1860 to 1990 the historic sulphate aerosol forcing estimate was used and for 1990 to 2049 the aerosol forcing estimated for the IS92a emissions scenario. The GSa1 experiment did not extend beyond 2049. Several papers describe results using this version of the model - see Bacher et al. (1998), Oberhuber et al. (1998), Zhang et al. (1998)."
NC01GG01,N/A,"The NCAR model version used here is the NCAR-DoE global coupled model (sometimes referred to as the Washington-Meehl coupled model. Submissions to the DDC using the later NCAR CSM and PCM models will follow). Simulations of 20th century climate and projections of climate into the 21st century were conducted with a global coupled climate model without flux adjustment (these experiments are described in Meehl et al. (1999). The global coupled climate model used in these experiments has an atmospheric component with rhomboidal 15 (R15) resolution (roughly 4.5º latitude by 7.5º longitude) with 9 levels, mass flux convection and a cloud albedo feedback scheme; a global 1º by 1º 20-level ocean; and dynamic and thermodynamic sea ice (Meehl and Washington, 1995; Washington and Meehl, 1996). Characteristics of this model are described by: Meehl and Washington (1995) for sensitivity aspects of the cloud albedo feedback scheme; Meehl (1997) for details on the spin-up and systematic errors; Washington and Meehl (1996) for basic description of a 1% per year CO2 increase experiment and features of the high latitude response in the northern Hemisphere; Meehl and Washington (1996) for description of the ``El Nino-like"" pattern in the 1% CO2 increase sensitivity experiment; Meehl et al. (1996) for results from a set of sensitivity experiments including the 1% per year CO2 increase experiment compared to experiments that include direct and indirect effects of sulphate aerosols. Two climate change experiments were performed, both starting in the year 1900. The first uses greenhouse gas radiative forcing (represented by equivalent CO2) observed during the 20th century, and extends greenhouse gas forcing to the year 2035 by increasing CO2 1% per year compound after 1990 (CO2-only experiment). The second includes the same greenhouse gas (equivalent CO2) forcing as the first, but adds the effects of time-varying geographic distributions of monthly sulphate aerosol radiative forcing (CO2+sulphates experiment). These are compared to a 135-year control experiment with no change in external forcing. Climate system responses in the CO2-only and CO2+sulphates experiments are marked not only by greater warming at high latitudes in the winter hemisphere, but also by a global ""El Nino-like"" pattern in surface temperature, precipitation, and sea level pressure. This is characterized by relatively greater increase of SST in the central and eastern equatorial Pacific compared to the west, a shift of precipitation maxima from the western Pacific to the central Pacific, mostly decreases of Asian-Australian monsoon strength, lower pressure over the eastern tropical Pacific, deeper midlatitude troughs in the north and south Pacific, and higher pressure over Australasia. An EOF analysis of surface temperature indicates that the ""El Nino-like"" pattern in the model characterizes not only CO2-only and CO2+sulphates climate system response to time-varying external forcing, but also internally-generated climate variability at the El Nino and decadal (9-20 year) timescales. These results indicate that the ""El Nino-like"" pattern is a ubiquitous response in the climate system that occurs at different timescales due to different forcings. The coupled model climate change experiments show that time-evolving external forcing can introduce this same low frequency response pattern into the coupled climate system."
